item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03	500000								
item_pgc_planet_hologram_dathomir						1			
item_pgc_planet_hologram_dathomir_02						1			
item_tcg_loot_reward_series5_nightsister_backpack						1			
item_tcg_loot_reward_series1_morgukai_shadow_scroll						1			
item_tcg_loot_reward_series1_painting_jedi_crest						1			
item_tcg_loot_reward_series1_glowing_red_eyes						1			
item_tcg_loot_reward_series1_glowing_blue_eyes						1			
item_tcg_loot_reward_series3_guise_of_the_master						1			
item_tcg_loot_reward_series4_guise_of_vapaad_02_01						1			
item_tcg_loot_reward_series6_guise_of_fire						1			
item_tcg_loot_reward_series6_guise_of_ice						1			
item_tcg_loot_reward_series6_nightsister_painting						1			
item_tcg_loot_reward_series6_beast_poster_winged_quenker						1			
item_tcg_loot_reward_series6_beast_poster_spined_rancor						1			
item_tcg_loot_reward_series4_greeter_nightsister						1			
item_tcg_loot_reward_series3_nightsister_vendor						1			
object/tangible/veteran_reward/frn_vet_houseplant.iff						1			
item_vet_reward_75month_houseplant_02						1			
object/tangible/veteran_reward/frn_vet_holo_yoda.iff						1			
object/tangible/veteran_reward/tow_retail_reward.iff						1			
object/tangible/veteran_reward/vr_nightspider_deed.iff						1			
object/tangible/veteran_reward/vr_gacklebat_deed.iff						1			
object/tangible/veteran_reward/vr_mynock_deed.iff						1			
item_holopet_emitter_01_01						1			
item_holopet_data_cube_gift_01_01						1			
item_publish_gift_update_14_statuette						1			
