item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03	500000								
item_pgc_planet_hologram_naboo						1			
item_pgc_planet_hologram_naboo_02						1			
item_tcg_loot_reward_series3_general_grievous_gutsack	10000								
object/tangible/deed/player_house_deed/mustafar_house_lg.iff						20			
item_tcg_loot_reward_series3_swamp_speeder						1			
object/tangible/deed/vehicle_deed/barc_speeder_deed.iff						1			
object/tangible/veteran_reward/vehicle_walker_at_rt_camo.iff						1			
item_tcg_loot_reward_series4_geonosian_speeder_02_01						1			
item_tcg_loot_reward_series6_a1_deluxe_floater						1			
object/tangible/deed/vehicle_deed/instant_travel_terminal_royal_ship_deed.iff						100			
item_tcg_loot_reward_series4_home_itv_02_01						1			
item_tcg_loot_reward_series2_arc170_flightsuit						1			
item_tcg_loot_reward_series1_vendor_gungan						1			
item_tcg_loot_reward_series9_greeter_gungan						1			
item_tcg_loot_reward_series9_jedi_library_bookshelf						1			
item_tcg_loot_reward_series9_computer_console_01						1			
object/tangible/veteran_reward/data_terminal_s1.iff						1			
object/tangible/veteran_reward/data_terminal_s2.iff						1			
object/tangible/veteran_reward/data_terminal_s3.iff						1			
object/tangible/veteran_reward/data_terminal_s4.iff						1			
object/tangible/veteran_reward/frn_tech_console_sectional_a.iff						1			
object/tangible/veteran_reward/frn_tech_console_sectional_b.iff						1			
object/tangible/veteran_reward/frn_tech_console_sectional_c.iff						1			
object/tangible/veteran_reward/frn_tech_console_sectional_d.iff						1			
item_tcg_loot_reward_series3_jango_fett_memorial_statue						1			
item_tcg_loot_reward_series1_painting_trooper						1			
item_tcg_loot_reward_series3_creature_pet_deed_massiff						1			
item_tcg_loot_reward_series3_empal_surecon_center_medical_table						1			
item_tcg_loot_reward_series4_medical_table_02_01						1			
item_tcg_loot_reward_series3_target_dummy						1			
item_tcg_loot_reward_series3_swg_tcg_painting						1			
item_tcg_loot_reward_series6_build03_battle_droid_statuette						1			
item_tcg_loot_reward_series3_greeter_battle_droid						1			
item_tcg_loot_reward_series3_battle_droid_vendor						1			
item_tcg_loot_reward_series1_vendor_gungan						1			
item_tcg_loot_reward_series1_target_creature						1			
item_tcg_loot_reward_series2_v_wing						1			
item_tcg_loot_reward_series2_computer_console_02						1			
item_tcg_loot_reward_series4_chewbacca_statuette_02_01						1			
item_tcg_loot_reward_series4_peko_peko_mount_02_01						1			
item_tcg_loot_reward_series4_ball_of_peace_02_01						1			
item_tcg_loot_reward_series4_relaxation_pool_deed_02_01						1			
item_tcg_loot_reward_series4_creature_pet_deed_nuna_02_01						1			
item_tcg_loot_reward_series6_gualaar_mount						1			
item_tcg_loot_reward_series6_baby_colo_set						1			
item_tcg_loot_reward_series9_fish_tank						1			
item_tcg_loot_reward_series6_beast_muzzle						1			
object/tangible/veteran_reward/frn_vet_holo_starfighter.iff						1			
item_tcg_loot_reward_series5_mustafar_diorama						1			
item_tcg_loot_reward_series5_signal_unit						1			
item_tcg_loot_reward_series6_house_lamp						1			
item_tcg_loot_reward_series7_embroidered_sash						1			
item_tcg_loot_reward_series7_build03_gunship_blueprint						1			
item_tcg_loot_reward_series7_build04_broken_ball_turret						1			
item_cs_dna_acklay						1			
item_cs_dna_nexu						1			
item_cs_dna_reek						1			
item_costume_gungan	100								
item_costume_battle_droid	100								
costume_super_battle_droid	100								
item_costume_droideka	100								
costume_mustafarian_01	100								
item_costume_kit	1								
