item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03	500000								
item_pgc_planet_hologram_endor						1			
item_pgc_planet_hologram_endor_02						1			
item_tcg_loot_reward_series3_wookiee_ceremonial_pipe						1			
item_tcg_loot_reward_series6_ponda_baba_arm						1			
item_tcg_loot_reward_series1_gorax_ear						1			
item_tcg_loot_reward_series1_vendor_ewok						1			
item_tcg_loot_reward_series2_sanyassan_skull						1			
item_tcg_loot_reward_series2_keelkana_tooth						1			
item_tcg_loot_reward_series2_greeter_ewok						1			
item_tcg_loot_reward_series8_exogorth_crater						1			
item_tcg_loot_reward_series8_exogorth_gloves						1			
item_tcg_loot_reward_series8_painting_yoda						1			
item_tcg_loot_reward_series8_yodas_soup						1			
item_tcg_loot_reward_series8_yoda_backpack						1			
item_tcg_loot_reward_series8_yoda_house_deed						1			
item_tcg_loot_reward_series8_r2d2_dagobah						1			
item_tcg_loot_reward_series8_dagobah_garden						1			
item_tcg_loot_reward_series8_yoda_xwing						1			
item_tcg_loot_reward_series9_ds2						1			
item_costume_ewok	100								
costume_dantari_m	100								
costume_dantari_f	100								
item_costume_kit	1								
