item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03			4						
item_tcg_loot_reward_series1_nuna_ball_advertisement	10000								
item_tcg_loot_reward_series4_t16_toy_02_01	20000								
item_tcg_loot_reward_series5_creature_pet_deed_scurrier_02_01						1			
item_tcg_loot_reward_series8_single_pod_airspeeder						10			
item_tcg_loot_reward_series6_greedo_outfit						1			
item_tcg_loot_reward_series6_han_greedo_diorama						1			
item_tcg_loot_reward_series6_dewback_armor						1			
item_tcg_loot_reward_series8_armored_tauntaun_statue						1			
object/tangible/veteran_reward/frn_vet_jabba_toy.iff						1			
item_katiara_toy						1			
object/tangible/veteran_reward/frn_vet_stormtrooper_toy.iff						1			
object/tangible/veteran_reward/frn_vet_r2_toy.iff						1			
object/tangible/veteran_reward/frn_vet_protocol_droid_toy.iff						1			
object/tangible/veteran_reward/frn_vet_x_wing_toy.iff						1			
object/tangible/veteran_reward/frn_vet_tie_fighter_toy.iff						1			
object/tangible/veteran_reward/frn_vet_cu_pa_toy.iff						1			
object/tangible/veteran_reward/frn_vet_dewback_toy.iff						1			
object/tangible/veteran_reward/frn_vet_rancor_toy.iff						1			
object/tangible/veteran_reward/frn_vet_boba_toy.iff						1			
object/tangible/veteran_reward/frn_vet_atat_toy.iff						1			
object/tangible/veteran_reward/frn_vet_tusken_raider_toy.iff						1			
object/tangible/veteran_reward/frn_vet_salacious_crumb_toy.iff						1			
item_tcg_loot_reward_series4_stuffed_tauntaun_02_01						1			
item_tcg_loot_reward_series4_stuffed_wampa_02_01						1			
item_tcg_loot_reward_series6_lando_statuette						1			
item_tcg_loot_reward_series4_tatooine_travel_advertisement_02_01						1			
item_tcg_loot_reward_series3_mustafar_travel_advertisement						1			
item_tcg_loot_reward_series6_travel_ad_ord_mantell						1			
item_tcg_loot_reward_series6_travel_ad_coruscant						1			
item_tcg_loot_reward_series4_kashyyyk_travel_advertisement_02_01						1			
item_tcg_loot_reward_series3_hoth_travel_advertisement						1			
item_tcg_loot_reward_series8_bespin_city						1			
item_tcg_loot_reward_series6_cloud_city_hologram						1			
item_tcg_decorational_bespin_house						1			
item_tcg_loot_reward_series8_glass_sculpture						1			
item_tcg_loot_reward_series8_bespin_lamp_off						1			
item_tcg_loot_reward_series8_bespin_sconce_off						1			
item_tcg_loot_reward_series8_bespin_shelves						1			
item_tcg_loot_reward_series4_child_bed_02_01						1			
item_tcg_loot_reward_series7_figrin_dan_diorama						1			
item_tcg_loot_reward_series4_video_game_table_02_01						1			
item_tcg_loot_reward_series2_video_game_table						1			
item_tcg_loot_reward_series4_tauntaun_ride_02_01						1			
item_dianoga_dumpster						1			
item_tcg_loot_reward_series7_purple_cape						1			
item_tcg_loot_reward_series7_gold_cape						1			
item_tcg_loot_reward_series8_lando_cape						1			
item_tcg_loot_reward_series8_painting_vintage						1			
item_tcg_loot_reward_series9_yacht						1			
sorosuub						20			
